white_move,white_time,black_move,black_time
c4,01:40:51,c5,01:39:46
Nf3,01:40:58,Nf6,01:39:55
Nc3,01:41:20,Nc6,01:40:18
d4,01:40:27,cxd4,01:39:30
Nxd4,01:40:50,e6,01:39:54
a3,01:41:09,Bе7,01:39:47
e4,01:39:28,O-O,01:39:49
Nf3,01:36:22,Qa5,01:39:31
Bd2,01:36:44,Qh5,01:39:18
Rg1,01:36:30,d5,01:36:57
g4,01:34:49,Nxg4,01:36:55
cxd5,01:35:07,exd5,01:35:48
Nxd5,01:35:26,Bc5,01:30:13
Qe2,01:35:36,f5,01:27:40
Nf4,01:15:42,Qf7,01:27:33
Rg2,01:11:35,Qe7,00:45:24
e5,01:03:15,Ncxe5,00:39:04
O-O,01:01:39,Bd6,00:33:46
Bc3,00:52:37,Nxf3,00:30:22
Qxf3,00:52:50,Be6,00:30:05
h3,00:36:17,Be5,00:19:27
Nxe6,00:24:05,Qxe6,00:19:19
hxg4,00:24:12,Bxc3,00:19:27
bxc3,00:24:16,Rad8,00:18:58
gxf5,00:21:00,Rxd1+,00:11:59
Qxd1,00:20:38,Qa2+,00:12:12
Bd3,00:15:03,Re8,00:08:29
Qxa3,00:10:09,Qxa3+,00:05:50
Qb2+,00:09:53,Qb2,00:06:07
Qc2,00:10:13,Qb6,00:06:30
Qa2+,00:08:21,Kh8,00:06:34
Rg4,00:08:44,Qh6+,00:06:26
Kc2,00:09:05,Qh2,00:06:35
Qf7,00:08:22,Qxf2+,00:06:58
Kb3,00:08:47,Rg8,00:05:19
Bc4,00:08:35,Rb8,00:05:20
Qe7,00:07:26,h5,00:05:05
Rh4,00:07:07,Qd1+,00:05:29
